Unnamed: 0,batch,assigned_cluster
mouse2_lib1.final_cell_0052,1,beta
mouse2_lib3.final_cell_0069,1,ductal
mouse2_lib1.final_cell_0300,1,beta
mouse1_lib2.final_cell_0097,0,beta
mouse1_lib1.final_cell_0196,0,beta
mouse1_lib1.final_cell_0092,0,endothelial
mouse2_lib2.final_cell_0244,1,alpha
mouse1_lib3.final_cell_0002,0,beta
mouse2_lib2.final_cell_0198,1,beta
mouse1_lib3.final_cell_0032,0,beta
mouse2_lib3.final_cell_0092,1,beta
mouse1_lib2.final_cell_0053,0,beta
mouse2_lib2.final_cell_0051,1,alpha
mouse2_lib1.final_cell_0244,1,beta
mouse1_lib3.final_cell_0138,0,beta
mouse1_lib1.final_cell_0087,0,ductal
mouse2_lib2.final_cell_0211,1,beta
mouse2_lib1.final_cell_0314,1,beta
mouse1_lib1.final_cell_0007,0,beta
mouse2_lib3.final_cell_0332,1,beta
mouse1_lib1.final_cell_0067,0,ductal
mouse1_lib3.final_cell_0055,0,endothelial
mouse2_lib1.final_cell_0192,1,beta
mouse1_lib2.final_cell_0243,0,delta
mouse2_lib1.final_cell_0205,1,macrophage
mouse1_lib3.final_cell_0121,0,delta
mouse2_lib1.final_cell_0233,1,beta
mouse1_lib2.final_cell_0109,0,beta
mouse2_lib2.final_cell_0020,1,beta
mouse1_lib2.final_cell_0089,0,beta
mouse2_lib3.final_cell_0004,1,beta
mouse1_lib3.final_cell_0092,0,beta
mouse2_lib2.final_cell_0117,1,delta
mouse1_lib2.final_cell_0094,0,beta
mouse2_lib3.final_cell_0051,1,beta
mouse1_lib2.final_cell_0072,0,ductal
mouse2_lib3.final_cell_0347,1,quiescent_stellate
mouse1_lib1.final_cell_0152,0,beta
mouse1_lib3.final_cell_0180,0,ductal
mouse2_lib3.final_cell_0237,1,quiescent_stellate
mouse2_lib3.final_cell_0095,1,alpha
mouse2_lib3.final_cell_0164,1,beta
mouse2_lib3.final_cell_0277,1,delta
mouse2_lib2.final_cell_0002,1,beta
mouse1_lib3.final_cell_0023,0,beta
mouse2_lib2.final_cell_0331,1,beta
mouse2_lib1.final_cell_0242,1,beta
mouse2_lib1.final_cell_0254,1,beta
mouse2_lib1.final_cell_0100,1,delta
mouse2_lib1.final_cell_0220,1,immune_other
mouse2_lib1.final_cell_0007,1,beta
mouse2_lib2.final_cell_0315,1,beta
mouse2_lib1.final_cell_0103,1,beta
mouse1_lib3.final_cell_0166,0,ductal
mouse2_lib3.final_cell_0199,1,ductal
mouse2_lib3.final_cell_0022,1,beta
mouse1_lib1.final_cell_0089,0,beta
mouse2_lib2.final_cell_0264,1,macrophage
mouse2_lib1.final_cell_0247,1,alpha
mouse1_lib1.final_cell_0110,0,quiescent_stellate
mouse1_lib1.final_cell_0030,0,ductal
mouse2_lib1.final_cell_0022,1,beta
mouse1_lib1.final_cell_0245,0,delta
mouse2_lib1.final_cell_0172,1,beta
mouse1_lib1.final_cell_0130,0,beta
mouse1_lib1.final_cell_0095,0,ductal
mouse2_lib1.final_cell_0202,1,beta
mouse2_lib2.final_cell_0123,1,beta
mouse1_lib2.final_cell_0103,0,beta
mouse2_lib1.final_cell_0126,1,beta
mouse2_lib1.final_cell_0219,1,beta
mouse1_lib1.final_cell_0046,0,beta
mouse1_lib3.final_cell_0141,0,beta
mouse1_lib1.final_cell_0184,0,ductal
mouse2_lib3.final_cell_0213,1,delta
mouse1_lib3.final_cell_0247,0,ductal
mouse2_lib3.final_cell_0139,1,beta
mouse2_lib3.final_cell_0273,1,ductal
mouse2_lib1.final_cell_0193,1,beta
mouse1_lib2.final_cell_0086,0,delta
mouse1_lib2.final_cell_0076,0,beta
mouse2_lib2.final_cell_0066,1,beta
mouse2_lib1.final_cell_0155,1,beta
mouse1_lib3.final_cell_0086,0,ductal
mouse1_lib3.final_cell_0014,0,ductal
mouse1_lib1.final_cell_0172,0,beta
